matrix,N,nnz,B,rho,seed,motion,lane_order,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b162_c3,15374,610299,8,0.002,18,drift,rotate,400,256,192133.6,194408,193423,32190,7924,4.0623,1.751713168186348e-16,381,72,22,72,8.469276,0.222281,0.311669,0.278456,2.368029,0.225739,27.1739,3.5765,26.0975,0.9604,0.1316
TSOPF_RS_b162_c3,15374,610299,8,0.002,19,drift,rotate,400,256,191351.6,194408,178236,32181,7924,4.0612,1.7914258383441745e-16,381,68,19,68,8.457778,0.22178,0.306596,0.275295,2.181758,0.223818,27.5861,3.8766,26.9658,0.9775,0.1405
TSOPF_RS_b162_c3,15374,610299,8,0.002,20,drift,rotate,400,256,186508.7,194408,185437,32124,7920,4.0561,1.8123573768650002e-16,395,67,4,67,8.505982,0.21666,0.306961,0.276588,2.132149,0.224369,27.7103,3.9894,26.6272,0.9609,0.144
TSOPF_RS_b162_c3,15374,610299,8,0.002,21,drift,rotate,400,256,191512.8,195544,185864,32275,7926,4.072,1.7477865179838082e-16,392,72,17,72,8.687436,0.222066,0.309913,0.278407,2.450223,0.226619,28.0319,3.5456,27.1576,0.9688,0.1265
TSOPF_RS_b162_c3,15374,610299,8,0.01,17,drift,rotate,400,256,181411.1,194408,146100,32124,7920,4.0561,1.560862024527934e-16,403,167,18,167,8.461762,0.212583,0.323071,0.285857,5.462242,0.225398,26.1916,1.5491,23.804,0.9088,0.0591
TSOPF_RS_b162_c3,15374,610299,8,0.01,18,drift,rotate,400,256,182305.8,194408,177022,32190,7924,4.0623,1.926436873884769e-16,403,171,9,171,8.498357,0.214705,0.32226,0.28552,5.732152,0.225142,26.3711,1.4826,23.8711,0.9052,0.0562
TSOPF_RS_b162_c3,15374,610299,8,0.01,19,drift,rotate,400,256,186593.4,194408,192185,32181,7924,4.0612,1.6899156815578936e-16,403,161,10,161,8.71288,0.218603,0.323511,0.286752,5.449841,0.225232,26.9323,1.5987,24.4626,0.9083,0.0594
TSOPF_RS_b162_c3,15374,610299,8,0.01,20,drift,rotate,400,256,185285.4,194408,184444,32124,7920,4.0561,1.8123573768650002e-16,403,148,7,148,8.646673,0.216133,0.323018,0.286411,4.800908,0.224844,26.7684,1.801,24.4852,0.9147,0.0673
TSOPF_RS_b162_c3,15374,610299,8,0.01,21,drift,rotate,400,256,189297.5,195544,185484,32275,7926,4.072,2.0924885827861008e-16,402,156,14,156,8.810175,0.222152,0.324549,0.287233,5.396222,0.227166,27.1459,1.6327,24.82,0.9143,0.0601
TSOPF_RS_b162_c3,15374,610299,8,0.05,17,drift,rotate,400,256,179093.0,194408,191977,32124,7920,4.0561,2.320762796438013e-16,403,350,51,350,8.370563,0.211113,0.339906,0.2923,11.909387,0.223851,24.6261,0.7029,19.8994,0.8081,0.0285
TSOPF_RS_b162_c3,15374,610299,8,0.05,18,drift,rotate,400,256,183667.2,194408,169413,32190,7924,4.0623,2.1714528584633987e-16,403,367,66,367,8.607356,0.216461,0.347094,0.296901,13.457978,0.226674,24.7983,0.6396,20.0102,0.8069,0.0258
TSOPF_RS_b162_c3,15374,610299,8,0.05,19,drift,rotate,400,256,146247.9,194408,2371,32181,7924,4.0612,1.9696302466590976e-16,403,296,47,296,6.884512,0.17651,0.313801,0.270596,9.685607,0.20761,21.9391,0.7108,18.1835,0.8288,0.0324
TSOPF_RS_b162_c3,15374,610299,8,0.05,20,drift,rotate,400,256,180931.1,194408,132214,32124,7920,4.0561,2.4089004751647486e-16,403,342,11,342,8.482969,0.232396,0.337997,0.290855,11.093725,0.223074,25.0978,0.7647,20.4202,0.8136,0.0305
TSOPF_RS_b162_c3,15374,610299,8,0.05,21,drift,rotate,400,256,184405.5,195544,185198,32275,7926,4.072,1.9195117594220186e-16,403,367,80,367,8.624682,0.230582,0.345404,0.295528,13.391934,0.225721,24.9698,0.644,20.0302,0.8022,0.0258
TSOPF_RS_b162_c3,15374,610299,8,0.25,17,drift,rotate,400,256,190053.5,194408,117010,32124,7920,4.0561,2.1436383882743508e-16,403,401,105,401,8.909689,0.240993,0.342083,0.29026,14.652273,0.224153,26.0454,0.6081,20.4669,0.7858,0.0233
TSOPF_RS_b162_c3,15374,610299,8,0.25,18,drift,rotate,400,256,182495.2,194408,2430,32190,7924,4.0623,1.6311741823669817e-16,403,387,45,387,8.561578,0.241152,0.333861,0.284705,13.868675,0.219354,25.6441,0.6173,20.288,0.7911,0.0241
TSOPF_RS_b162_c3,15374,610299,8,0.25,19,drift,rotate,400,256,193375.6,194408,193948,32181,7924,4.0612,1.2871383544192614e-16,403,402,144,402,9.095636,0.239564,0.35047,0.297566,16.667664,0.228361,25.9527,0.5457,20.3858,0.7855,0.021
TSOPF_RS_b162_c3,15374,610299,8,0.25,20,drift,rotate,400,256,145603.4,194408,2396,32124,7920,4.0561,1.8123573768650002e-16,403,317,0,317,6.84135,0.178476,0.286903,0.245403,9.89039,0.188385,23.8455,0.6917,19.393,0.8133,0.029
TSOPF_RS_b162_c3,15374,610299,8,0.25,21,drift,rotate,400,256,192497.8,195544,146991,32275,7926,4.072,1.7662770250841423e-16,403,398,17,398,8.998384,0.22757,0.343883,0.294574,15.549411,0.226355,26.167,0.5787,20.4888,0.783,0.0221
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,jump,rotate,400,256,194408,194408,194408,32124,7920,4.0561,2.33199221406069e-16,1,1,0,1,0.262612,0.2574,0.254788,0.24178,0.214846,0.202493,1.0307,1.2223,1.0557,1.0242,1.1859
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,jump,rotate,400,256,194408,194408,194408,32190,7924,4.0623,2.250136108661321e-16,1,1,0,1,0.262714,0.25757,0.255921,0.242738,0.214838,0.20247,1.0265,1.2228,0.9228,0.899,1.1912
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,jump,rotate,400,256,194408,194408,194408,32181,7924,4.0612,2.0975294965738434e-16,1,1,0,1,0.262369,0.257129,0.255015,0.241937,0.214932,0.202533,1.0288,1.2207,1.0548,1.0253,1.1865
TSOPF_RS_b162_c3,15374,610299,8,0.0,20,jump,rotate,400,256,194408,194408,194408,32124,7920,4.0561,1.8123573768650002e-16,1,1,0,1,0.26229,0.257152,0.254545,0.2416,0.215109,0.202835,1.0304,1.2193,0.9239,0.8966,1.1833
TSOPF_RS_b162_c3,15374,610299,8,0.0,21,jump,rotate,400,256,195544,195544,195544,32275,7926,4.072,2.9638176259977964e-16,1,1,0,1,0.264184,0.259036,0.253862,0.240841,0.216707,0.204288,1.0407,1.2191,1.0607,1.0193,1.1715
TSOPF_RS_b162_c3,15374,610299,8,0.002,17,jump,rotate,400,256,109494.7,194408,51147,32124,7920,4.0561,1.5894756339734833e-16,403,385,144,385,5.227101,0.13744,0.415507,0.364827,31.055472,0.293394,12.5801,0.1683,10.0864,0.8018,0.0134
TSOPF_RS_b162_c3,15374,610299,8,0.002,18,jump,rotate,400,256,101125.7,194408,36444,32190,7924,4.0623,2.7191635235448934e-16,403,388,107,388,4.837688,0.133044,0.424726,0.374133,31.635646,0.309392,11.3901,0.1529,9.2072,0.8083,0.0134
TSOPF_RS_b162_c3,15374,610299,8,0.002,19,jump,rotate,400,256,103059.6,194408,37280,32181,7924,4.0612,1.9283715334794145e-16,403,390,86,390,4.940019,0.130481,0.43476,0.384834,32.191588,0.319103,11.3626,0.1535,9.3395,0.822,0.0135
TSOPF_RS_b162_c3,15374,610299,8,0.002,20,jump,rotate,400,256,86749.1,194408,44380,32124,7920,4.0561,1.8123573768650002e-16,402,388,69,388,4.180873,0.117746,0.404983,0.356767,29.173278,0.296737,10.3236,0.1433,8.3118,0.8051,0.0139
TSOPF_RS_b162_c3,15374,610299,8,0.002,21,jump,rotate,400,256,84266.8,195544,29189,32275,7926,4.072,1.7477865179838082e-16,403,393,62,393,4.067647,0.108015,0.374698,0.326731,24.910391,0.266285,10.8558,0.1633,8.5601,0.7885,0.015
TSOPF_RS_b162_c3,15374,610299,8,0.01,17,jump,rotate,400,256,48458.8,194408,14706,32124,7920,4.0561,1.0556056459727581e-16,403,403,134,403,2.382247,0.071523,0.401946,0.353319,35.129253,0.282513,5.9268,0.0678,4.466,0.7535,0.0114
TSOPF_RS_b162_c3,15374,610299,8,0.01,18,jump,rotate,400,256,50452.0,194408,7187,32190,7924,4.0623,1.6311741823669817e-16,403,403,61,403,2.468458,0.072254,0.345073,0.299604,25.450783,0.238516,7.1534,0.097,5.1502,0.72,0.0136
TSOPF_RS_b162_c3,15374,610299,8,0.01,19,jump,rotate,400,256,41058.3,194408,6697,32181,7924,4.0612,1.2871383544192614e-16,403,403,26,403,2.036642,0.063665,0.344952,0.30007,26.462036,0.239201,5.9041,0.077,4.2303,0.7165,0.013
TSOPF_RS_b162_c3,15374,610299,8,0.01,20,jump,rotate,400,256,48941.7,194408,6599,32124,7920,4.0561,1.8123573768650002e-16,403,403,18,403,2.401535,0.069688,0.377032,0.332592,30.62652,0.263493,6.3696,0.0784,4.7489,0.7456,0.0123
TSOPF_RS_b162_c3,15374,610299,8,0.01,21,jump,rotate,400,256,45390.1,195544,21849,32275,7926,4.072,1.7477865179838082e-16,403,403,15,403,2.240553,0.069659,0.339119,0.294296,23.970809,0.233601,6.607,0.0935,4.7051,0.7121,0.0141
TSOPF_RS_b162_c3,15374,610299,8,0.05,17,jump,rotate,400,256,16413.1,194408,22615,32124,7920,4.0561,6.922485113753605e-17,403,403,8,403,0.866474,0.034094,0.258203,0.218516,13.963071,0.168403,3.3558,0.0621,2.0937,0.6239,0.0185
TSOPF_RS_b162_c3,15374,610299,8,0.05,18,jump,rotate,400,256,14158.0,194408,6641,32190,7924,4.0623,1.6311741823669817e-16,403,403,0,403,0.760562,0.032092,0.255918,0.216789,13.699962,0.166836,2.9719,0.0555,1.8603,0.626,0.0187
TSOPF_RS_b162_c3,15374,610299,8,0.05,19,jump,rotate,400,256,21134.0,194408,6941,32181,7924,4.0612,1.2871383544192614e-16,403,403,0,403,1.089154,0.040158,0.278768,0.238095,17.239303,0.184743,3.907,0.0632,2.5221,0.6455,0.0162
TSOPF_RS_b162_c3,15374,610299,8,0.05,20,jump,rotate,400,256,18693.2,194408,14331,32124,7920,4.0561,1.8123573768650002e-16,403,403,0,403,0.975861,0.037763,0.259765,0.219795,14.027469,0.169135,3.7567,0.0696,2.3595,0.6281,0.0185
