churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
jump,churning only,O3 fit-restricted [operator median replicate floor] vs +calib,"random forest (300) [both, refit]",router (+calibration),worst-case regret,-1.02219,-1.48463,-0.46274,1,410,21
jump,churning only,O3 fit-restricted [operator median replicate floor] vs +calib,"random forest (300) [both, refit]",router (+calibration),accuracy,0.02227,-0.0489,0.08353,0,410,21
jump,churning only,O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,-0.06052,-0.08144,-0.03954,1,410,21
jump,churning only,O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,-0.16837,-0.19892,0.01606,0,410,21
jump,churning only,O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.02396,-0.08189,0.02764,0,410,21
jump,churning only,O3 score-restricted [operator worst replicate floor] vs steady,gradient boosting [both],router (steady),geomean regret,-0.06153,-0.08902,-0.03759,1,378,21
jump,churning only,O3 score-restricted [operator worst replicate floor] vs steady,gradient boosting [both],router (steady),worst-case regret,-0.33966,-0.64962,0.01606,0,378,21
jump,churning only,O3 score-restricted [operator worst replicate floor] vs steady,gradient boosting [both],router (steady),accuracy,0.01144,-0.06217,0.07827,0,378,21
jump,churning only,O3 score-restricted [operator worst replicate floor] vs +calib,gradient boosting [both],router (+calibration),geomean regret,-0.30889,-0.40171,-0.23125,1,378,21
jump,churning only,O3 score-restricted [operator worst replicate floor] vs +calib,gradient boosting [both],router (+calibration),worst-case regret,-1.15219,-1.48463,-0.46274,1,378,21
jump,churning only,O3 score-restricted [operator worst replicate floor] vs +calib,gradient boosting [both],router (+calibration),accuracy,0.01144,-0.06217,0.07827,0,378,21
jump,churning only,O3 fit-restricted [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,-0.05987,-0.08576,-0.03697,1,378,21
jump,churning only,O3 fit-restricted [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,-0.33878,-0.61282,0.01606,0,378,21
jump,churning only,O3 fit-restricted [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.00999,-0.07602,0.05398,0,378,21
jump,churning only,O3 fit-restricted [operator worst replicate floor] vs +calib,"logistic regression [both, refit]",router (+calibration),geomean regret,-0.30723,-0.39886,-0.2301,1,378,21
jump,churning only,O3 fit-restricted [operator worst replicate floor] vs +calib,"logistic regression [both, refit]",router (+calibration),worst-case regret,-1.15131,-1.44783,-0.46274,1,378,21
jump,churning only,O3 fit-restricted [operator worst replicate floor] vs +calib,"logistic regression [both, refit]",router (+calibration),accuracy,-0.00999,-0.07602,0.05398,0,378,21
jump,churning only,O3 pre-registered [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,-0.05987,-0.08576,-0.03697,1,378,21
jump,churning only,O3 pre-registered [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,-0.33878,-0.61282,0.01606,0,378,21
jump,churning only,O3 pre-registered [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.00999,-0.07602,0.05398,0,378,21
jump,churning only,O3 score-restricted [flat 10% parity band] vs steady,gradient boosting [both],router (steady),geomean regret,-0.06008,-0.09103,-0.03483,1,366,21
jump,churning only,O3 score-restricted [flat 10% parity band] vs steady,gradient boosting [both],router (steady),worst-case regret,-0.33878,-0.63319,0.01698,0,366,21
jump,churning only,O3 score-restricted [flat 10% parity band] vs steady,gradient boosting [both],router (steady),accuracy,0.00084,-0.07223,0.06857,0,366,21
jump,churning only,O3 score-restricted [flat 10% parity band] vs +calib,gradient boosting [both],router (+calibration),geomean regret,-0.31467,-0.4178,-0.23004,1,366,21
jump,churning only,O3 score-restricted [flat 10% parity band] vs +calib,gradient boosting [both],router (+calibration),worst-case regret,-1.15134,-1.4682,-0.46274,1,366,21
jump,churning only,O3 score-restricted [flat 10% parity band] vs +calib,gradient boosting [both],router (+calibration),accuracy,0.00084,-0.07223,0.06857,0,366,21
jump,churning only,O3 fit-restricted [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,-0.06507,-0.09747,-0.03752,1,366,21
jump,churning only,O3 fit-restricted [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,-0.33922,-0.61282,0.01698,0,366,21
jump,churning only,O3 fit-restricted [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),accuracy,0.02429,-0.03868,0.09092,0,366,21
jump,churning only,O3 fit-restricted [flat 10% parity band] vs +calib,"logistic regression [both, refit]",router (+calibration),geomean regret,-0.31966,-0.42352,-0.23186,1,366,21
jump,churning only,O3 fit-restricted [flat 10% parity band] vs +calib,"logistic regression [both, refit]",router (+calibration),worst-case regret,-1.15178,-1.44783,-0.46274,1,366,21
jump,churning only,O3 fit-restricted [flat 10% parity band] vs +calib,"logistic regression [both, refit]",router (+calibration),accuracy,0.02429,-0.03868,0.09092,0,366,21
jump,churning only,O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,-0.06507,-0.09747,-0.03752,1,366,21
jump,churning only,O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,-0.33922,-0.61282,0.01698,0,366,21
jump,churning only,O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),accuracy,0.02429,-0.03868,0.09092,0,366,21
jump,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs steady,random forest (300) [both],router (steady),geomean regret,-0.04633,-0.07138,-0.0216,1,512,21
jump,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs steady,random forest (300) [both],router (steady),worst-case regret,0.12353,-0.16681,0.51923,0,512,21
jump,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs steady,random forest (300) [both],router (steady),accuracy,-0.00509,-0.06446,0.04962,0,512,21
