matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,False,400,256,14.682139,0.431567,0.579718,0.744,25.326,1.0,0.713957,0.441494,33.256,0.978,1,0.431567,hst,20.564,34.021,0.604,34.021,1.0,1.3924108160288588e-16,drift,284,1.148,30508,hst,1,8.23
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,False,400,256,14.656868,0.44291,0.707901,0.626,20.705,1.0,0.720827,0.448312,32.693,0.988,1,0.44291,hst,20.333,33.092,0.614,33.092,1.0,1.3924108160288588e-16,drift,388,1.249,30532,hst,1,8.199
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,False,400,256,14.63418,0.411553,0.473513,0.869,30.906,1.0,0.692853,0.419983,34.845,0.98,1,0.411553,hst,21.122,35.558,0.594,35.558,1.0,1.3924108160288588e-16,drift,202,1.08,30516,hst,1,8.18
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,False,400,256,14.658637,0.439119,0.573765,0.765,25.548,1.0,0.714605,0.443227,33.073,0.991,1,0.439119,hst,20.513,33.382,0.614,33.382,1.0,1.3924108160288588e-16,drift,336,1.201,30540,hst,1,8.169
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,False,400,138,14.430449,0.431499,0.648452,0.665,22.254,1.0,0.707787,0.437276,33.001,0.987,1,0.431499,hst,20.388,33.443,0.61,33.443,1.0,1.3924108160288588e-16,drift,389,1.295,30526,hst,1,8.093
bcspwr10,5300,21842,8,0.0,17,False,400,256,0.006185,0.035258,0.030503,1.156,0.203,1.0,0.007305,0.006936,0.892,0.892,,0.006185,delta_baseline,0.847,1.0,0.847,1.0,5.7,1.871280638170483e-16,drift,0,1.0,3622,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,18,False,400,256,0.006128,0.035858,0.03092,1.16,0.198,1.0,0.007445,0.007099,0.863,0.863,,0.006128,delta_baseline,0.823,1.0,0.823,1.0,5.852,3.513861746800697e-16,drift,0,1.0,3653,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,19,False,400,256,0.006056,0.033169,0.029207,1.136,0.207,1.0,0.007384,0.007071,0.856,0.856,,0.006056,delta_baseline,0.82,1.0,0.82,1.0,5.477,2.258919437555397e-16,drift,0,1.0,3393,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,20,False,400,256,0.006227,0.031056,0.027467,1.131,0.227,1.0,0.007285,0.006965,0.894,0.894,,0.006227,delta_baseline,0.855,1.0,0.855,1.0,4.988,1.5260920413345594e-16,drift,0,1.0,3187,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,21,False,400,256,0.005979,0.033129,0.0288,1.15,0.208,1.0,0.007413,0.007084,0.844,0.844,,0.005979,delta_baseline,0.807,1.0,0.807,1.0,5.541,3.1586084160755566e-16,drift,0,1.0,3363,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.002,17,False,400,256,0.08195,0.061954,0.083644,0.741,0.98,1.0,0.083237,0.068751,1.192,0.901,275,0.061954,hst,0.985,1.323,0.744,1.323,1.0,1.871280638170483e-16,drift,318,3.896,3616,hst,1,3.625
bcspwr10,5300,21842,8,0.002,18,False,400,256,0.084483,0.064018,0.092538,0.692,0.913,1.0,0.086847,0.072147,1.171,0.887,306,0.064018,hst,0.973,1.32,0.737,1.32,1.0,3.513861746800697e-16,drift,332,4.065,3685,hst,1,3.77
bcspwr10,5300,21842,8,0.002,19,False,400,256,0.083084,0.059515,0.081373,0.731,1.021,1.0,0.08148,0.065981,1.259,0.902,219,0.059515,hst,1.02,1.396,0.73,1.396,1.0,2.258919437555397e-16,drift,300,3.897,3605,hst,1,3.739
bcspwr10,5300,21842,8,0.002,20,False,400,256,0.08144,0.055354,0.072007,0.769,1.131,1.0,0.077166,0.062568,1.302,0.885,182,0.055354,hst,1.055,1.471,0.717,1.471,1.0,1.5260920413345594e-16,drift,284,4.07,3436,hst,1,3.428
bcspwr10,5300,21842,8,0.002,21,False,400,256,0.077286,0.06032,0.081325,0.742,0.95,1.0,0.081916,0.067259,1.149,0.897,375,0.06032,hst,0.943,1.281,0.736,1.281,1.0,3.1586084160755566e-16,drift,311,4.088,3607,hst,1,3.763
bcspwr10,5300,21842,8,0.01,17,False,400,256,0.087403,0.069614,0.124301,0.56,0.703,1.0,0.092211,0.076717,1.139,0.907,377,0.069614,hst,0.948,1.256,0.755,1.256,1.0,1.871280638170483e-16,drift,396,4.405,3614,hst,1,4.028
bcspwr10,5300,21842,8,0.01,18,False,400,256,0.090237,0.071185,0.129837,0.548,0.695,1.0,0.09668,0.080966,1.114,0.879,461,0.071185,hst,0.933,1.268,0.736,1.268,1.0,3.513861746800697e-16,drift,398,4.352,3675,hst,1,4.27
bcspwr10,5300,21842,8,0.01,19,False,400,256,0.086214,0.06894,0.117715,0.586,0.732,1.0,0.092342,0.077116,1.118,0.894,443,0.06894,hst,0.934,1.251,0.747,1.251,1.0,2.258919437555397e-16,drift,394,3.721,3603,hst,1,4.035
bcspwr10,5300,21842,8,0.01,20,False,400,256,0.087876,0.069046,0.122516,0.564,0.717,1.0,0.092328,0.077596,1.132,0.89,383,0.069046,hst,0.952,1.273,0.748,1.273,1.0,1.5260920413345594e-16,drift,396,4.565,3681,hst,1,3.941
bcspwr10,5300,21842,8,0.01,21,False,400,256,0.081631,0.068163,0.120585,0.565,0.677,1.0,0.091342,0.076709,1.064,0.889,797,0.068163,hst,0.894,1.198,0.746,1.198,1.0,3.1586084160755566e-16,drift,393,5.058,3594,hst,1,3.924
bcspwr10,5300,21842,8,0.05,17,False,400,256,0.09597,0.07712,0.207269,0.372,0.463,1.0,0.100947,0.085777,1.119,0.899,416,0.07712,hst,0.951,1.244,0.764,1.244,1.0,1.871280638170483e-16,drift,399,5.042,3769,hst,1,4.242
bcspwr10,5300,21842,8,0.05,18,False,400,256,0.096024,0.078234,0.210187,0.372,0.457,1.0,0.102247,0.086478,1.11,0.905,463,0.078234,hst,0.939,1.227,0.765,1.227,1.0,3.513861746800697e-16,drift,399,4.702,3793,hst,1,4.418
bcspwr10,5300,21842,8,0.05,19,False,400,256,0.092966,0.077824,0.204143,0.381,0.455,1.0,0.101142,0.085965,1.081,0.905,606,0.077824,hst,0.919,1.195,0.769,1.195,1.0,2.258919437555397e-16,drift,399,4.296,3859,hst,1,4.24
bcspwr10,5300,21842,8,0.05,20,False,400,256,0.093664,0.077088,0.205397,0.375,0.456,1.0,0.100349,0.085672,1.093,0.9,510,0.077088,hst,0.933,1.215,0.768,1.215,1.0,1.5260920413345594e-16,drift,399,4.68,3796,hst,1,4.077
bcspwr10,5300,21842,8,0.05,21,False,400,256,0.089349,0.078224,0.207189,0.378,0.431,1.0,0.10058,0.085741,1.042,0.912,1168,0.078224,hst,0.888,1.142,0.778,1.142,1.0,3.1586084160755566e-16,drift,399,6.014,3826,hst,1,4.215
bcspwr10,5300,21842,8,0.25,17,False,400,256,0.097617,0.084806,0.454905,0.186,0.215,1.0,0.107122,0.092,1.061,0.922,775,0.084806,hst,0.911,1.151,0.792,1.151,1.0,1.871280638170483e-16,drift,399,5.326,3593,hst,1,4.351
bcspwr10,5300,21842,8,0.25,18,False,400,256,0.099643,0.083056,0.452475,0.184,0.22,1.0,0.107431,0.091453,1.09,0.908,550,0.083056,hst,0.928,1.2,0.773,1.2,1.0,3.513861746800697e-16,drift,399,3.954,3852,hst,1,4.505
bcspwr10,5300,21842,8,0.25,19,False,400,256,0.094073,0.082017,0.432872,0.189,0.217,1.0,0.10613,0.09056,1.039,0.906,1248,0.082017,hst,0.886,1.147,0.773,1.147,1.0,2.258919437555397e-16,drift,399,2.675,3871,hst,1,4.386
bcspwr10,5300,21842,8,0.25,20,False,400,256,0.097113,0.082522,0.44241,0.187,0.22,1.0,0.106472,0.090969,1.068,0.907,707,0.082522,hst,0.912,1.177,0.775,1.177,1.0,1.5260920413345594e-16,drift,399,3.996,3816,hst,1,4.341
bcspwr10,5300,21842,8,0.25,21,False,400,256,0.094704,0.083203,0.446289,0.186,0.212,1.0,0.105623,0.091011,1.041,0.914,1165,0.083203,hst,0.897,1.138,0.788,1.138,1.0,3.1586084160755566e-16,drift,399,1.681,3686,hst,1,4.304
scircuit,170998,958936,8,0.0,17,False,400,256,0.024747,0.066075,0.056717,1.165,0.436,1.0,0.030636,0.029785,0.831,0.831,,0.024747,delta_baseline,0.808,1.0,0.808,1.0,2.67,2.6050372849850016e-16,drift,0,1.0,1855,delta_baseline,0,0.0
scircuit,170998,958936,8,0.0,18,False,400,256,0.021722,0.038477,0.02961,1.299,0.734,1.0,0.01668,0.016177,1.343,1.343,0,0.021722,delta_baseline,1.302,1.0,1.302,1.0,1.771,2.0386846321125864e-16,drift,0,1.0,774,delta_baseline,0,0.0
scircuit,170998,958936,8,0.0,19,False,400,256,0.018486,0.071271,0.052265,1.364,0.354,1.0,0.022161,0.021395,0.864,0.864,,0.018486,delta_baseline,0.834,1.0,0.834,1.0,3.855,1.8803246323926756e-16,drift,0,1.0,3169,delta_baseline,0,0.0
