churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
jump,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),accuracy,-0.09695,-0.16603,-0.0364,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),geomean regret,-0.22536,-0.27983,-0.17812,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),worst-case regret,-0.48261,-1.30205,-0.10895,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),accuracy,-0.09695,-0.16603,-0.0364,1,524,21
jump,workload mix (frozen + churning),selection optimism,nested [structure+rho],best_of [structure+rho],geomean regret,0.00195,,,,524,21
jump,workload mix (frozen + churning),nested vs steady,nested selection [structure+rho],router (steady),geomean regret,-0.04378,-0.06876,-0.01878,1,524,21
jump,workload mix (frozen + churning),nested vs steady,nested selection [structure+rho],router (steady),worst-case regret,1.33819,-0.16681,2.04107,0,524,21
jump,workload mix (frozen + churning),nested vs steady,nested selection [structure+rho],router (steady),accuracy,-0.00525,-0.06667,0.04962,0,524,21
jump,workload mix (frozen + churning),nested vs +calib,nested selection [structure+rho],router (+calibration),geomean regret,-0.24969,-0.31041,-0.19352,1,524,21
jump,workload mix (frozen + churning),nested vs +calib,nested selection [structure+rho],router (+calibration),worst-case regret,0.52566,-1.41855,1.44192,0,524,21
jump,workload mix (frozen + churning),nested vs +calib,nested selection [structure+rho],router (+calibration),accuracy,-0.00525,-0.06667,0.04962,0,524,21
jump,workload mix (frozen + churning),learner spread,structure,,geomean regret span,0.05108,,,,524,21
jump,workload mix (frozen + churning),per-learner LOMO,1-D threshold (tree d=1) [structure],,geomean regret,1.14433,,,,524,21
jump,workload mix (frozen + churning),per-learner LOMO,decision tree d=3 [structure],,geomean regret,1.15173,,,,524,21
jump,workload mix (frozen + churning),per-learner LOMO,logistic regression [structure],,geomean regret,1.14982,,,,524,21
jump,workload mix (frozen + churning),per-learner LOMO,kNN (k=5) [structure],,geomean regret,1.19541,,,,524,21
jump,workload mix (frozen + churning),per-learner LOMO,random forest (300) [structure],,geomean regret,1.15598,,,,524,21
jump,workload mix (frozen + churning),per-learner LOMO,gradient boosting [structure],,geomean regret,1.1686,,,,524,21
jump,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure],router (steady),geomean regret,0.06948,-0.00975,0.16406,0,524,21
jump,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure],router (steady),worst-case regret,4.13961,1.55017,5.46214,1,524,21
jump,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure],router (steady),accuracy,-0.18256,-0.29393,-0.07839,1,524,21
jump,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),geomean regret,-0.13643,-0.25508,-0.01533,1,524,21
jump,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),worst-case regret,3.32707,0.71517,4.87942,1,524,21
jump,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),accuracy,-0.18256,-0.29393,-0.07839,1,524,21
jump,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure],router (steady),geomean regret,0.07376,0.01462,0.14777,1,524,21
jump,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure],router (steady),worst-case regret,2.51638,1.98057,3.17485,1,524,21
jump,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure],router (steady),accuracy,-0.20038,-0.29524,-0.10536,1,524,21
jump,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure],router (+calibration),geomean regret,-0.13215,-0.2219,-0.04322,1,524,21
jump,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure],router (+calibration),worst-case regret,1.70385,0.61218,2.59048,1,524,21
jump,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure],router (+calibration),accuracy,-0.20038,-0.29524,-0.10536,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure],router (steady),geomean regret,0.06948,-0.00975,0.16406,0,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure],router (steady),worst-case regret,4.13961,1.55017,5.46214,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure],router (steady),accuracy,-0.18256,-0.29393,-0.07839,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),geomean regret,-0.13643,-0.25508,-0.01533,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),worst-case regret,3.32707,0.71517,4.87942,1,524,21
jump,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),accuracy,-0.18256,-0.29393,-0.07839,1,524,21
jump,workload mix (frozen + churning),selection optimism,nested [structure],best_of [structure],geomean regret,0.03503,,,,524,21
jump,workload mix (frozen + churning),nested vs steady,nested selection [structure],router (steady),geomean regret,0.10393,0.02274,0.20401,1,524,21
jump,workload mix (frozen + churning),nested vs steady,nested selection [structure],router (steady),worst-case regret,4.16581,2.04107,5.46214,1,524,21
jump,workload mix (frozen + churning),nested vs steady,nested selection [structure],router (steady),accuracy,-0.22163,-0.33015,-0.11615,1,524,21
jump,workload mix (frozen + churning),nested vs +calib,nested selection [structure],router (+calibration),geomean regret,-0.10198,-0.20929,0.01471,0,524,21
jump,workload mix (frozen + churning),nested vs +calib,nested selection [structure],router (+calibration),worst-case regret,3.35328,1.08398,4.87942,1,524,21
jump,workload mix (frozen + churning),nested vs +calib,nested selection [structure],router (+calibration),accuracy,-0.22163,-0.33015,-0.11615,1,524,21
