matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
s3rmt3m3,5357,207123,8,0.25,19,False,400,256,0.468917,0.176952,0.85484,0.207,0.549,1.0,0.245663,0.195217,2.402,0.906,32,0.176952,hst,1.909,2.65,0.72,2.65,1.0,3.6103403035014226e-16,jump,399,3.052,4887,hst,1,8.715
s3rmt3m3,5357,207123,8,0.25,20,False,400,256,0.475171,0.178377,0.853344,0.209,0.557,1.0,0.23954,0.191792,2.478,0.93,29,0.178377,hst,1.984,2.664,0.745,2.664,1.0,3.8491695538458903e-16,jump,399,1.706,5086,hst,1,8.353
s3rmt3m3,5357,207123,8,0.25,21,False,400,256,0.47689,0.181924,0.887559,0.205,0.537,1.0,0.239113,0.190907,2.498,0.953,30,0.181924,hst,1.994,2.621,0.761,2.621,1.0,4.3170597187208097e-16,jump,399,3.98,4996,hst,1,8.46
olafu,16146,1015156,8,0.0,17,False,400,256,0.024324,0.054596,0.048923,1.116,0.497,1.0,0.026364,0.024483,0.994,0.994,,0.024324,delta_baseline,0.923,1.0,0.923,1.0,2.244,5.582074938205133e-16,jump,0,1.0,858,delta_baseline,0,0.0
olafu,16146,1015156,8,0.0,18,False,400,256,0.023065,0.045293,0.040551,1.117,0.569,1.0,0.025015,0.023426,0.985,0.985,,0.023065,delta_baseline,0.922,1.0,0.922,1.0,1.964,6.4036469396236e-16,jump,0,1.0,942,delta_baseline,0,0.0
olafu,16146,1015156,8,0.0,19,False,400,256,0.023908,0.059549,0.054618,1.09,0.438,1.0,0.025555,0.02387,1.002,1.002,0,0.023908,delta_baseline,0.936,1.0,0.936,1.0,2.491,4.864534386882603e-16,jump,0,1.0,1014,delta_baseline,0,0.0
olafu,16146,1015156,8,0.0,20,False,400,256,0.025539,0.043227,0.040393,1.07,0.632,1.0,0.027017,0.024996,1.022,1.022,0,0.025539,delta_baseline,0.945,1.0,0.945,1.0,1.693,8.4320949564375e-16,jump,0,1.0,794,delta_baseline,0,0.0
olafu,16146,1015156,8,0.0,21,False,400,256,0.029969,0.041422,0.040518,1.022,0.74,1.0,0.031251,0.028994,1.034,1.034,0,0.029969,delta_baseline,0.959,1.0,0.959,1.0,1.382,5.998259265642777e-16,jump,0,1.0,629,delta_baseline,0,0.0
olafu,16146,1015156,8,0.002,17,False,400,256,0.736935,0.202614,0.265822,0.762,2.772,1.0,0.215982,0.210211,3.506,0.964,2,0.202614,hst,3.412,3.637,0.938,3.637,1.0,5.582074938205133e-16,jump,392,3.579,11378,hst,1,0.956
olafu,16146,1015156,8,0.002,18,False,400,256,0.659604,0.186579,0.250112,0.746,2.637,1.0,0.199317,0.195017,3.382,0.957,2,0.186579,hst,3.309,3.535,0.936,3.535,1.0,6.4036469396236e-16,jump,392,3.55,11514,hst,1,0.885
olafu,16146,1015156,8,0.002,19,False,400,256,0.682358,0.195163,0.254605,0.767,2.68,1.0,0.21041,0.205128,3.326,0.951,2,0.195163,hst,3.243,3.496,0.928,3.496,1.0,4.864534386882603e-16,jump,387,3.55,11741,hst,1,1.047
olafu,16146,1015156,8,0.002,20,False,400,256,0.745928,0.185389,0.24838,0.746,3.003,1.0,0.20405,0.197432,3.778,0.939,2,0.185389,hst,3.656,4.024,0.909,4.024,1.0,8.4320949564375e-16,jump,387,3.535,11792,hst,1,0.934
olafu,16146,1015156,8,0.002,21,False,400,256,0.80555,0.17962,0.245905,0.73,3.276,1.0,0.199988,0.191164,4.214,0.94,1,0.17962,hst,4.028,4.485,0.898,4.485,1.0,5.998259265642777e-16,jump,384,3.375,11575,hst,1,0.918
olafu,16146,1015156,8,0.01,17,False,400,256,0.728318,0.246357,0.413311,0.596,1.762,1.0,0.260897,0.256459,2.84,0.961,2,0.246357,hst,2.792,2.956,0.944,2.956,1.0,5.582074938205133e-16,jump,399,4.375,12774,hst,1,1.061
olafu,16146,1015156,8,0.01,18,False,400,256,0.71354,0.238393,0.401054,0.594,1.779,1.0,0.254941,0.252714,2.824,0.943,2,0.238393,hst,2.799,2.993,0.935,2.993,1.0,6.4036469396236e-16,jump,399,4.837,12422,hst,1,0.942
olafu,16146,1015156,8,0.01,19,False,400,256,0.726644,0.24553,0.41592,0.59,1.747,1.0,0.263829,0.2598,2.797,0.945,2,0.24553,hst,2.754,2.959,0.931,2.959,1.0,4.864534386882603e-16,jump,399,4.457,12920,hst,1,1.146
olafu,16146,1015156,8,0.01,20,False,400,256,0.740432,0.23913,0.403655,0.592,1.834,1.0,0.258534,0.253917,2.916,0.942,2,0.23913,hst,2.864,3.096,0.925,3.096,1.0,8.4320949564375e-16,jump,399,4.374,12398,hst,1,0.984
olafu,16146,1015156,8,0.01,21,False,400,256,0.761544,0.238318,0.408425,0.584,1.865,1.0,0.261876,0.255777,2.977,0.932,2,0.238318,hst,2.908,3.195,0.91,3.195,1.0,5.998259265642777e-16,jump,399,4.404,13013,hst,1,1.0
olafu,16146,1015156,8,0.05,17,False,400,256,0.734739,0.276291,0.683404,0.404,1.075,1.0,0.291236,0.28215,2.604,0.979,3,0.276291,hst,2.523,2.659,0.949,2.659,1.0,5.582074938205133e-16,jump,399,2.564,12740,hst,1,1.278
olafu,16146,1015156,8,0.05,18,False,400,256,0.73931,0.271988,0.688052,0.395,1.074,1.0,0.291811,0.28528,2.592,0.953,3,0.271988,hst,2.534,2.718,0.932,2.718,1.0,6.4036469396236e-16,jump,399,3.041,12798,hst,1,1.329
olafu,16146,1015156,8,0.05,19,False,400,256,0.736115,0.276565,0.694124,0.398,1.06,1.0,0.357647,0.293748,2.506,0.942,25,0.276565,hst,2.058,2.662,0.773,2.662,1.0,4.864534386882603e-16,jump,399,3.063,12669,hst,1,11.084
olafu,16146,1015156,8,0.05,20,False,400,256,0.739422,0.272672,0.680869,0.4,1.086,1.0,0.292345,0.283318,2.61,0.962,3,0.272672,hst,2.529,2.712,0.933,2.712,1.0,8.4320949564375e-16,jump,399,3.024,12412,hst,1,1.266
olafu,16146,1015156,8,0.05,21,False,400,256,0.746146,0.271812,0.680749,0.399,1.096,1.0,0.294859,0.284027,2.627,0.957,3,0.271812,hst,2.531,2.745,0.922,2.745,1.0,5.998259265642777e-16,jump,399,3.889,12540,hst,1,1.304
olafu,16146,1015156,8,0.25,17,False,400,256,0.742938,0.305632,1.895033,0.161,0.392,1.0,0.387797,0.315438,2.355,0.969,32,0.305632,hst,1.916,2.431,0.788,2.431,1.0,5.582074938205133e-16,jump,399,4.415,12796,hst,1,13.708
