matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,25,False,256,33200,68544,,2.0646
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,50,False,256,9100,9703,,1.0663
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,75,False,256,9198,9734,,1.0583
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,100,False,256,8876,9492,,1.0694
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,125,False,256,8770,9336,,1.0645
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,150,False,256,8862,9468,,1.0684
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,175,False,256,8922,9502,,1.065
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,199,True,256,8894,9352,8894,1.0515
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,25,False,256,33414,69013,,2.0654
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,50,False,256,33936,39610,,1.1672
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,75,False,256,8573,9157,,1.0681
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,100,False,256,8622,9234,,1.071
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,125,False,256,8566,9352,,1.0918
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,150,False,256,33940,39330,,1.1588
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,175,False,256,33838,39328,,1.1622
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,jump,0.5,200,199,True,256,33858,39102,33858,1.1549
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,25,False,256,33180,68368,,2.0605
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,50,False,256,33893,39659,,1.1701
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,75,False,256,8758,9104,,1.0395
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,100,False,256,8561,9125,,1.0659
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,125,False,256,9102,9584,,1.053
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,150,False,256,33838,39156,,1.1572
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,175,False,256,33822,39086,,1.1556
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,jump,0.5,200,199,True,256,33862,69228,33862,2.0444
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,25,False,256,8798,9288,,1.0557
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,50,False,256,8866,9338,,1.0532
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,75,False,256,8929,9393,,1.052
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,100,False,256,8731,9395,,1.0761
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,125,False,256,8556,9078,,1.061
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,150,False,256,8674,9402,,1.0839
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,175,False,256,33830,39412,,1.165
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,199,True,256,8797,9315,8797,1.0589
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,25,False,256,8620,9198,,1.0671
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,50,False,256,8785,9419,,1.0722
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,75,False,256,8764,9290,,1.06
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,100,False,256,8681,9148,,1.0538
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,125,False,256,8844,9570,,1.0821
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,150,False,256,8688,9466,,1.0895
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,175,False,256,33872,39328,,1.1611
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,jump,0.5,200,199,True,256,8716,9190,8716,1.0544
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,25,False,256,8812,9318,,1.0574
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,50,False,256,8714,9440,,1.0833
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,75,False,256,33830,39638,,1.1717
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,100,False,256,8714,9306,,1.0679
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,125,False,256,8463,9203,,1.0874
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,150,False,256,8562,9160,,1.0698
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,175,False,256,8664,9440,,1.0896
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,jump,0.5,200,199,True,256,8680,9186,8680,1.0583
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,0,False,256,3622,6298,,1.7388
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,25,False,256,3649,6328,,1.7342
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,50,False,256,3650,6331,,1.7345
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,75,False,256,3660,6357,,1.7369
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,100,False,256,3654,6388,,1.7482
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,125,False,256,3619,6302,,1.7414
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,150,False,256,3632,6276,,1.728
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,175,False,256,3644,6345,,1.7412
bcspwr10,5300,21842,8,0.002,17,drift,0.5,200,199,True,256,3630,6261,3630,1.7248
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,0,False,256,3313,5506,,1.6619
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,25,False,256,3319,5475,,1.6496
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,50,False,256,3318,5466,,1.6474
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,75,False,256,3368,5553,,1.6488
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,100,False,256,3405,5764,,1.6928
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,125,False,256,3400,5670,,1.6676
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,150,False,256,3479,5790,,1.6643
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,175,False,256,3421,5619,,1.6425
bcspwr10,5300,21842,8,0.002,117,drift,0.5,200,199,True,256,3509,5840,3509,1.6643
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,0,False,256,3277,5574,,1.7009
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,25,False,256,3327,5653,,1.6991
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,50,False,256,3372,5775,,1.7126
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,75,False,256,3373,5756,,1.7065
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,100,False,256,3350,5676,,1.6943
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,125,False,256,3341,5680,,1.7001
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,150,False,256,3334,5602,,1.6803
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,175,False,256,3292,5543,,1.6838
bcspwr10,5300,21842,8,0.002,217,drift,0.5,200,199,True,256,3355,5643,3355,1.682
bcspwr10,5300,21842,8,0.01,17,drift,0.5,200,0,False,256,3622,6298,,1.7388
