rows_per_block,rows_merged,merge,matrix,rho,seed,motion,steps
17328,12080,1.4344370860927151,raefsky3,0.01,19,jump,400
17232,12112,1.4227212681638044,raefsky3,0.01,20,jump,400
17256,12056,1.4313205043132051,raefsky3,0.01,21,jump,400
17472,12000,1.456,raefsky3,0.05,17,jump,400
17472,12160,1.436842105263158,raefsky3,0.05,18,jump,400
17456,12584,1.3871582962492053,raefsky3,0.05,19,jump,400
17040,12320,1.3831168831168832,raefsky3,0.05,20,jump,400
17280,12344,1.3998703823720027,raefsky3,0.05,21,jump,400
17592,12648,1.3908918406072106,raefsky3,0.25,17,jump,400
17280,12184,1.418253447143795,raefsky3,0.25,18,jump,400
17016,12192,1.3956692913385826,raefsky3,0.25,19,jump,400
17184,12264,1.401174168297456,raefsky3,0.25,20,jump,400
17136,12408,1.381044487427466,raefsky3,0.25,21,jump,400
12106,7516,1.6106971793507185,case9,0.0,17,drift,400
13766,8024,1.715603190428714,case9,0.0,18,drift,400
12169,7524,1.61735778841042,case9,0.0,19,drift,400
13839,8018,1.7259915190820654,case9,0.0,20,drift,400
13636,7973,1.7102721685689202,case9,0.0,21,drift,400
13289,7769,1.7105161539451668,case9,0.002,17,drift,400
15313,8332,1.8378540566490638,case9,0.002,18,drift,400
13254,7734,1.7137315748642359,case9,0.002,19,drift,400
14783,8244,1.7931829209121786,case9,0.002,20,drift,400
14900,8260,1.8038740920096852,case9,0.002,21,drift,400
13317,7707,1.7279096924873492,case9,0.01,17,drift,400
14070,7972,1.7649272453587557,case9,0.01,18,drift,400
13544,7739,1.7500969117457035,case9,0.01,19,drift,400
14211,7992,1.7781531531531531,case9,0.01,20,drift,400
13795,7842,1.759117572047947,case9,0.01,21,drift,400
13195,7676,1.7189942678478374,case9,0.05,17,drift,400
13255,7685,1.7247885491216657,case9,0.05,18,drift,400
13362,7701,1.7350993377483444,case9,0.05,19,drift,400
13343,7693,1.7344339009489147,case9,0.05,20,drift,400
13329,7682,1.735095027336631,case9,0.05,21,drift,400
12903,7596,1.698657187993681,case9,0.25,17,drift,400
13148,7687,1.7104201899310525,case9,0.25,18,drift,400
13418,7687,1.7455444256537012,case9,0.25,19,drift,400
13225,7642,1.7305679141585972,case9,0.25,20,drift,400
13179,7668,1.7187010954616588,case9,0.25,21,drift,400
12106,7516,1.6106971793507185,case9,0.0,17,jump,400
13766,8024,1.715603190428714,case9,0.0,18,jump,400
12169,7524,1.61735778841042,case9,0.0,19,jump,400
13839,8018,1.7259915190820654,case9,0.0,20,jump,400
13636,7973,1.7102721685689202,case9,0.0,21,jump,400
17065,9261,1.842673577367455,case9,0.002,17,jump,400
6729,5049,1.332739156268568,case9,0.002,18,jump,400
13411,9304,1.4414230438521065,case9,0.002,19,jump,400
6750,5044,1.338223632038065,case9,0.002,20,jump,400
6605,4834,1.366363260239967,case9,0.002,21,jump,400
6655,5083,1.3092661813889435,case9,0.01,17,jump,400
14121,9611,1.4692539798147954,case9,0.01,18,jump,400
13916,9516,1.4623791509037412,case9,0.01,19,jump,400
6638,5159,1.2866834657879433,case9,0.01,20,jump,400
13889,9547,1.4548025557766837,case9,0.01,21,jump,400
6801,5284,1.2870931112793338,case9,0.05,17,jump,400
6536,4941,1.32280914794576,case9,0.05,18,jump,400
6934,5391,1.286217770358004,case9,0.05,19,jump,400
6539,5040,1.297420634920635,case9,0.05,20,jump,400
6637,5046,1.31529924692826,case9,0.05,21,jump,400
6653,5282,1.2595607724346838,case9,0.25,17,jump,400
6623,5231,1.2661059070923342,case9,0.25,18,jump,400
6532,5257,1.2425337645044703,case9,0.25,19,jump,400
6782,5186,1.3077516390281527,case9,0.25,20,jump,400
6594,5077,1.298798503052984,case9,0.25,21,jump,400
12327,3609,3.4156275976724855,msc10848,0.0,17,drift,400
10407,2700,3.8544444444444443,msc10848,0.0,18,drift,400
12117,3738,3.241573033707865,msc10848,0.0,19,drift,400
11886,3195,3.72018779342723,msc10848,0.0,20,drift,400
12993,4146,3.133863965267728,msc10848,0.0,21,drift,400
19230,5952,3.2308467741935485,msc10848,0.002,17,drift,400
17322,4680,3.7012820512820515,msc10848,0.002,18,drift,400
17775,5289,3.3607487237663074,msc10848,0.002,19,drift,400
17550,5154,3.4051222351571595,msc10848,0.002,20,drift,400
17094,5421,3.1532927504150527,msc10848,0.002,21,drift,400
18114,6171,2.935342732134176,msc10848,0.01,17,drift,400
15309,5064,3.0231042654028437,msc10848,0.01,18,drift,400
15960,5283,3.0210107893242477,msc10848,0.01,19,drift,400
18174,5529,3.2870320130222463,msc10848,0.01,20,drift,400
