matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
rajat03,7602,32653,8,0.25,19,False,200,256,0.076901,0.09938,0.468699,0.212,0.164,1.0,0.11712,0.083994,0.916,0.916,,0.076901,delta_baseline,0.657,1.0,0.657,1.0,1.292,1.5991248545154193e-16,mix,199,3.375,4009,delta_baseline,0,4.987,native,0,0.0,0.75
wang3,26064,177168,8,0.01,17,False,200,256,0.108279,0.10808,0.158322,0.683,0.684,1.0,0.14934,0.114116,0.949,0.947,,0.10808,hst,0.725,1.002,0.724,1.002,1.0,1.1305705384438466e-16,mix,199,2.697,7506,hst,1,5.404,native,0,0.0,0.75
wang3,26064,177168,8,0.01,18,False,200,256,0.10611,0.104004,0.154187,0.675,0.688,1.0,0.147927,0.113657,0.934,0.915,,0.104004,hst,0.717,1.02,0.703,1.02,1.0,2.415345571415648e-16,mix,199,3.499,7176,hst,1,5.376,native,0,0.0,0.75
wang3,26064,177168,8,0.01,19,False,200,256,0.106797,0.103062,0.153599,0.671,0.695,1.0,0.148292,0.114546,0.932,0.9,,0.103062,hst,0.72,1.036,0.695,1.036,1.0,1.1119305929315413e-16,mix,199,2.156,7679,hst,1,5.216,native,0,0.0,0.75
wang3,26064,177168,8,0.25,17,False,200,256,0.106123,0.172842,0.726298,0.238,0.146,1.0,0.161503,0.114922,0.923,0.923,,0.106123,delta_baseline,0.657,1.0,0.657,1.0,1.629,1.1305705384438466e-16,mix,199,1.0,7839,delta_baseline,0,7.998,native,0,0.0,0.75
wang3,26064,177168,8,0.25,18,False,200,256,0.105764,0.156593,0.732119,0.214,0.144,1.0,0.162726,0.114994,0.92,0.92,,0.105764,delta_baseline,0.65,1.0,0.65,1.0,1.481,2.415345571415648e-16,mix,199,6.622,7860,delta_baseline,0,8.16,native,0,0.0,0.75
wang3,26064,177168,8,0.25,19,False,200,256,0.105701,0.15415,0.73929,0.209,0.143,1.0,0.162933,0.115009,0.919,0.919,,0.105701,delta_baseline,0.649,1.0,0.649,1.0,1.458,1.1119305929315413e-16,mix,199,5.747,8055,delta_baseline,0,8.165,native,0,0.0,0.75
ct20stif,52329,2600295,8,0.01,17,False,200,256,0.684661,0.208966,0.326132,0.641,2.099,1.0,0.22426,0.206252,3.32,1.013,3,0.208966,hst,3.053,3.276,0.932,3.276,1.0,3.403944480715774e-16,mix,199,1.9,15351,hst,1,1.376,native,0,0.0,0.75
ct20stif,52329,2600295,8,0.01,18,False,200,256,0.535271,0.192184,0.306278,0.627,1.748,1.0,0.204443,0.196732,2.721,0.977,3,0.192184,hst,2.618,2.785,0.94,2.785,1.0,3.351339203340676e-16,mix,199,1.799,14281,hst,1,1.173,native,0,0.0,0.75
ct20stif,52329,2600295,8,0.01,19,False,200,256,0.601966,0.199997,0.317448,0.63,1.896,1.0,0.218007,0.206473,2.915,0.969,3,0.199997,hst,2.761,3.01,0.917,3.01,1.0,2.600013994931016e-16,mix,199,1.696,14667,hst,1,1.304,native,0,0.0,0.75
