matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
nasa2910,2910,174296,8,0.01,18,jump_nnz,rotate,fast,400,256,16562.3,16547,16579,4516,733,6.161,4.530725956094496e-16,403,398,13,398,0.893136,0.038571,0.251785,0.213024,8.062957,0.128588,3.5472,0.1108,2.5855,0.7289,0.0312
nasa2910,2910,174296,8,0.01,19,jump_nnz,rotate,fast,400,256,18753.9,18739,18754,5243,775,6.7652,2.774716345493723e-16,403,393,0,393,1.002716,0.040477,0.258903,0.220314,8.276593,0.132791,3.8729,0.1212,2.8531,0.7367,0.0313
nasa2910,2910,174296,8,0.05,17,jump_nnz,rotate,fast,400,256,17909.1,17905,17868,6219,1090,5.7055,3.153931624208114e-16,403,403,1,403,0.973574,0.041031,0.274197,0.235478,9.617083,0.139438,3.5506,0.1012,2.5628,0.7218,0.0285
nasa2910,2910,174296,8,0.05,18,jump_nnz,rotate,fast,400,256,16570.0,16547,16563,4516,733,6.161,4.530725956094496e-16,403,403,0,403,0.908133,0.03954,0.270879,0.232372,9.466636,0.138954,3.3525,0.0959,2.4043,0.7172,0.0286
nasa2910,2910,174296,8,0.05,19,jump_nnz,rotate,fast,400,256,18754.3,18739,18753,5243,775,6.7652,2.774716345493723e-16,403,403,0,403,1.010231,0.041622,0.277007,0.238372,9.863302,0.142854,3.647,0.1024,2.6424,0.7246,0.0281
nasa2910,2910,174296,8,0.25,17,jump_nnz,rotate,fast,400,256,17892.2,17905,17914,6219,1090,5.7055,3.153931624208114e-16,403,403,0,403,0.97882,0.041384,0.280406,0.240775,9.83263,0.141608,3.4907,0.0995,2.5189,0.7216,0.0285
nasa2910,2910,174296,8,0.25,18,jump_nnz,rotate,fast,400,256,16576.2,16547,16595,4516,733,6.161,4.530725956094496e-16,403,403,0,403,0.913703,0.040385,0.280313,0.240729,9.828674,0.141206,3.2596,0.093,2.3455,0.7196,0.0285
nasa2910,2910,174296,8,0.25,19,jump_nnz,rotate,fast,400,256,18758.0,18739,18747,5243,775,6.7652,2.774716345493723e-16,403,403,0,403,1.016398,0.041977,0.283406,0.243759,10.076441,0.144158,3.5864,0.1009,2.6082,0.7273,0.0281
raefsky3,21200,1488768,8,0.01,17,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,3.205898418633118e-16,403,403,797,403,0.903994,0.04686,0.323976,0.252472,15.025628,0.212147,2.7903,0.0602,2.0363,0.7298,0.0216
raefsky3,21200,1488768,8,0.01,18,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,6.383913170765949e-16,403,403,484,403,0.900831,0.046828,0.319955,0.258834,15.197232,0.212794,2.8155,0.0593,1.9116,0.6789,0.0211
raefsky3,21200,1488768,8,0.01,19,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,2.8238009859841747e-16,403,403,282,403,0.90065,0.04675,0.315827,0.261623,15.33883,0.204356,2.8517,0.0587,1.886,0.6613,0.0206
raefsky3,21200,1488768,8,0.05,17,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,3.205898418633118e-16,403,403,404,403,0.897575,0.049624,0.345624,0.287118,18.033822,0.206604,2.597,0.0498,1.656,0.6377,0.0192
raefsky3,21200,1488768,8,0.05,18,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,6.383913170765949e-16,403,403,25,403,0.901182,0.049445,0.33232,0.288651,18.072352,0.206525,2.7118,0.0499,1.689,0.6228,0.0184
raefsky3,21200,1488768,8,0.05,19,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,2.8238009859841747e-16,403,403,4,403,0.899678,0.049721,0.331059,0.288436,18.006399,0.206909,2.7176,0.05,1.6924,0.6228,0.0184
raefsky3,21200,1488768,8,0.25,17,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,3.205898418633118e-16,403,403,2,403,0.905224,0.051286,0.340221,0.297951,18.628085,0.210384,2.6607,0.0486,1.6607,0.6242,0.0183
raefsky3,21200,1488768,8,0.25,18,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,6.383913170765949e-16,403,403,0,403,0.907187,0.051478,0.341524,0.298857,18.693534,0.211793,2.6563,0.0485,1.6542,0.6228,0.0183
raefsky3,21200,1488768,8,0.25,19,jump_nnz,rotate,fast,400,256,18432,18432,18432,2304,480,4.8,2.8238009859841747e-16,403,403,0,403,0.907941,0.051611,0.342304,0.299708,18.645445,0.21256,2.6524,0.0487,1.6511,0.6225,0.0184
case9,14454,147972,8,0.01,17,jump_nnz,rotate,fast,400,256,25159.7,25159,25160,12106,7516,1.6107,2.1825507134872103e-16,403,402,405,402,1.211566,0.045879,0.15575,0.115978,4.099447,0.098347,7.7789,0.2955,5.6846,0.7308,0.038
case9,14454,147972,8,0.01,18,jump_nnz,rotate,fast,400,256,25833.5,25834,25833,13766,8024,1.7156,1.1572469035330344e-15,403,402,344,402,1.249674,0.044065,0.16234,0.123487,4.45036,0.101569,7.6979,0.2808,5.7437,0.7461,0.0365
case9,14454,147972,8,0.01,19,jump_nnz,rotate,fast,400,256,25160.0,25159,25160,12169,7524,1.6174,1.9561193275323994e-16,403,403,46,403,1.209685,0.045643,0.150028,0.11487,3.976814,0.097523,8.0631,0.3042,5.6924,0.706,0.0377
case9,14454,147972,8,0.05,17,jump_nnz,rotate,fast,400,256,25160.0,25159,25160,12106,7516,1.6107,1.655897237105266e-16,403,403,86,403,1.216694,0.046495,0.164154,0.128341,4.449283,0.103596,7.4119,0.2735,5.2018,0.7018,0.0369
case9,14454,147972,8,0.05,18,jump_nnz,rotate,fast,400,256,25833.9,25834,25832,13766,8024,1.7156,4.915261177423788e-16,403,403,33,403,1.261365,0.044259,0.164898,0.129701,4.653675,0.102371,7.6494,0.271,5.5254,0.7223,0.0354
case9,14454,147972,8,0.05,19,jump_nnz,rotate,fast,400,256,25160.0,25159,25160,12169,7524,1.6174,1.7797750266908284e-16,403,403,51,403,1.221559,0.046826,0.163945,0.128016,4.406877,0.103458,7.451,0.2772,5.1957,0.6973,0.0372
case9,14454,147972,8,0.25,17,jump_nnz,rotate,fast,400,256,25159.9,25159,25160,12106,7516,1.6107,1.8621083941459827e-16,403,403,232,403,1.218029,0.047022,0.172438,0.134814,4.53034,0.103135,7.0636,0.2689,5.036,0.713,0.0381
case9,14454,147972,8,0.25,18,jump_nnz,rotate,fast,400,256,25833.8,25834,25836,13766,8024,1.7156,5.828721149049939e-16,403,403,44,403,1.26507,0.045,0.173384,0.137673,4.759283,0.103107,7.2963,0.2658,5.2702,0.7223,0.0364
case9,14454,147972,8,0.25,19,jump_nnz,rotate,fast,400,256,25159.9,25159,25160,12169,7524,1.6174,1.6385105081231798e-16,403,403,82,403,1.215876,0.047197,0.169283,0.133778,4.522691,0.10338,7.1825,0.2688,5.1001,0.7101,0.0374
msc10848,10848,1229776,8,0.01,17,jump_nnz,rotate,fast,400,256,32025.7,32070,31989,12327,3609,3.4156,2.6482700535265756e-16,403,403,613,403,1.780364,0.073996,0.496145,0.41088,22.746131,0.27919,3.5884,0.0783,2.8932,0.8063,0.0218
msc10848,10848,1229776,8,0.01,18,jump_nnz,rotate,fast,400,256,35775.5,35592,35841,10407,2700,3.8544,4.52701546055652e-16,403,403,255,403,1.971295,0.079111,0.495223,0.431458,25.539144,0.294233,3.9806,0.0772,3.0846,0.7749,0.0194
msc10848,10848,1229776,8,0.01,19,jump_nnz,rotate,fast,400,256,34852.3,34683,34869,12117,3738,3.2416,7.550691841062536e-16,403,403,110,403,1.916908,0.077006,0.461101,0.407001,21.664905,0.272334,4.1572,0.0885,3.1731,0.7633,0.0213
